D,4,2,1778172928581,1778172928588,7
Q,4,3,1778172928588,1778172928589,1
Q,1,4,1778172928589,1778172928591,2
Q,5,2,1778172928591,1778172928593,2
Q,1,3,1778172928593,1778172928594,1
A,3,4,1778172928594,1778172928595,1
Q,4,5,1778172928596,1778172928597,1
Q,1,3,1778172928597,1778172928598,1
Q,3,5,1778172928598,1778172928599,1
Q,4,1,1778172928599,1778172928600,1
Q,4,4,1778172928600,1778172928601,1
D,4,4,1778172928601,1778172928602,1
Q,3,5,1778172928602,1778172928603,1
Q,5,3,1778172928604,1778172928604,0
Q,3,5,1778172928604,1778172928605,1
Q,4,2,1778172928605,1778172928606,1
Q,4,5,1778172928606,1778172928607,1
Q,1,1,1778172928607,1778172928608,1
Q,2,2,1778172928608,1778172928609,1
Q,4,1,1778172928609,1778172928610,1
Q,2,1,1778172928610,1778172928611,1
Q,2,4,1778172928611,1778172928612,1
Q,4,2,1778172928612,1778172928613,1
Q,3,2,1778172928613,1778172928614,1
Q,4,1,1778172928614,1778172928614,0
Q,4,1,1778172928614,1778172928615,1
Q,3,3,1778172928615,1778172928616,1
A,1,4,1778172928616,1778172928617,1
D,4,4,1778172928617,1778172928618,1
Q,4,2,1778172928618,1778172928619,1
Q,2,2,1778172928619,1778172928619,0
Q,2,2,1778172928619,1778172928620,1
Q,4,2,1778172928620,1778172928621,1
Q,4,5,1778172928621,1778172928622,1
Q,3,3,1778172928622,1778172928623,1
A,2,3,1778172928623,1778172928624,1
Q,3,5,1778172928624,1778172928625,1
Q,1,5,1778172928625,1778172928625,0
A,5,2,1778172928626,1778172928626,0
A,4,4,1778172928626,1778172928627,1
Q,1,1,1778172928627,1778172928628,1
D,1,3,1778172928628,1778172928629,1
D,1,5,1778172928629,1778172928630,1
Q,1,2,1778172928630,1778172928630,0
Q,3,5,1778172928630,1778172928631,1
Q,1,2,1778172928631,1778172928632,1
Q,3,3,1778172928632,1778172928633,1
D,4,4,1778172928633,1778172928633,0
Q,5,1,1778172928633,1778172928634,1
D,1,3,1778172928634,1778172928635,1
BATCH_MODE,-,-,1778173289639,1778173289678,39,Batch Size: 50
BATCH_MODE,-,-,1778173298382,1778173298428,46,Batch Size: 50
